Date,Open,High,Low,Close,Volume,AdjClose,Bid,Ask
2024-02-23,2711.00,2718.73,2703.20,2712.00,831007,2712.00,2711.99,2712.01
2024-02-24,2711.01,2719.54,2708.44,2713.30,1052327,2713.30,2713.29,2713.31
2024-02-25,2722.38,2724.51,2697.75,2701.49,1082680,2701.49,2701.48,2701.50
2024-02-26,2702.83,2748.13,2702.60,2744.54,815681,2744.54,2744.53,2744.55
2024-02-27,2780.75,2822.82,2770.92,2820.47,940305,2820.47,2820.46,2820.48
2024-02-28,2818.03,2869.61,2805.63,2855.44,841597,2855.44,2855.43,2855.45
2024-02-29,2882.78,2885.57,2830.57,2835.90,991428,2835.90,2835.89,2835.91
2024-02-30,2828.07,2831.85,2755.65,2767.58,1095181,2767.58,2767.57,2767.59
2024-03-01,2770.59,2777.11,2623.27,2627.32,1004237,2627.32,2627.31,2627.33
2024-03-02,2617.70,2685.73,2599.51,2675.98,828970,2675.98,2675.97,2675.99
2024-03-03,2690.02,2739.75,2687.74,2715.42,833088,2715.42,2715.41,2715.43
2024-03-04,2738.03,2769.06,2724.87,2763.89,833755,2763.89,2763.88,2763.90
2024-03-05,2764.08,2765.96,2712.95,2723.63,968216,2723.63,2723.62,2723.64
2024-03-06,2728.21,2749.20,2726.32,2747.04,1020588,2747.04,2747.03,2747.05
2024-03-07,2723.30,2839.31,2720.85,2820.42,964663,2820.42,2820.41,2820.43
2024-03-08,2824.15,2825.83,2776.08,2784.78,948654,2784.78,2784.77,2784.79
2024-03-09,2794.06,2824.29,2792.58,2821.15,927925,2821.15,2821.14,2821.16
2024-03-10,2820.14,2820.47,2755.13,2761.41,1009651,2761.41,2761.40,2761.42
2024-03-11,2757.75,2818.37,2745.21,2814.25,958218,2814.25,2814.24,2814.26
2024-03-12,2832.65,2836.31,2804.48,2808.45,1108047,2808.45,2808.44,2808.46
2024-03-13,2818.50,2827.51,2797.10,2807.44,993689,2807.44,2807.43,2807.45
2024-03-14,2820.17,2847.21,2811.64,2833.82,1060823,2833.82,2833.81,2833.83
2024-03-15,2831.91,2835.40,2805.11,2810.52,1026833,2810.52,2810.51,2810.53
2024-03-16,2825.87,2831.47,2805.01,2807.87,1175506,2807.87,2807.86,2807.88
2024-03-17,2796.94,2824.78,2795.73,2817.30,1102695,2817.30,2817.29,2817.31
2024-03-18,2812.93,2831.42,2776.10,2777.52,1042390,2777.52,2777.51,2777.53
2024-03-19,2765.34,2804.20,2763.67,2797.56,987763,2797.56,2797.55,2797.57
2024-03-20,2812.38,2816.86,2798.53,2815.82,960939,2815.82,2815.81,2815.83
2024-03-21,2823.88,2836.30,2782.68,2787.92,1056182,2787.92,2787.91,2787.93
2024-03-22,2798.04,2802.77,2797.48,2798.01,949955,2798.01,2798.00,2798.02
2024-03-23,2778.76,2852.32,2778.14,2845.06,882161,2845.06,2845.05,2845.07
2024-03-24,2852.20,2864.20,2844.53,2849.97,1008030,2849.97,2849.96,2849.98
2024-03-25,2850.15,2860.01,2816.35,2822.35,912872,2822.35,2822.34,2822.36
2024-03-26,2837.94,2840.20,2729.93,2740.63,842414,2740.63,2740.62,2740.64
2024-03-27,2750.53,2774.12,2744.74,2768.43,1151549,2768.43,2768.42,2768.44
2024-03-28,2765.19,2817.90,2761.46,2813.27,1070212,2813.27,2813.26,2813.28
2024-03-29,2804.03,2862.53,2798.81,2858.90,1023531,2858.90,2858.89,2858.91
2024-03-30,2868.97,2887.01,2819.13,2826.55,1165090,2826.55,2826.54,2826.56
2024-04-01,2817.53,2886.91,2805.40,2879.89,1076158,2879.89,2879.88,2879.90
2024-04-02,2885.93,2894.42,2878.76,2894.05,881847,2894.05,2894.04,2894.06
2024-04-03,2881.62,2925.84,2866.25,2920.20,1141176,2920.20,2920.19,2920.21
2024-04-04,2899.02,2905.69,2881.83,2884.18,945380,2884.18,2884.17,2884.19
2024-04-05,2876.86,2920.15,2864.94,2910.48,850802,2910.48,2910.47,2910.49
2024-04-06,2903.40,2955.85,2897.19,2947.99,1003252,2947.99,2947.98,2948.00
2024-04-07,2944.42,2994.27,2942.25,2985.26,1108025,2985.26,2985.25,2985.27
2024-04-08,2973.76,2978.91,2958.28,2969.49,1122718,2969.49,2969.48,2969.50
2024-04-09,2985.42,2996.44,2956.28,2963.96,1171327,2963.96,2963.95,2963.97
2024-04-10,2970.71,3008.42,2955.58,2998.66,1084119,2998.66,2998.65,2998.67
